incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired
Horse Fire,Y,2019-10-25T09:26:38Z,2018-06-24T15:28:00Z,CAL FIRE Tuolumne-Calaveras Unit,,Calaveras,"Horseshoe Rd & Stagecoach Dr, near Copperopolis",80,100,,CAL FIRE Tuolumne-Calaveras Unit,-120.68902,37.95766,Wildfire,f2d02439-f682-47e7-b6e9-6e51ca068c86,https://www.fire.ca.gov/incidents/2018/6/24/horse-fire/,2019-01-04T10:01:00Z,2019-01-04,2018-06-24,N,TRUE,FALSE
Klamathon Fire,Y,2019-10-25T09:41:00Z,2018-07-05T12:31:00Z,CAL FIRE Siskiyou Unit,,Siskiyou,"off Klamathon Road and Copco Road, south of Hornbrook",38008,100,I-5 is open,"CAL FIRE Siskiyou Unit, Siskiyou County Sheriff’s Department, California Department of Corrections and Rehabilitation, Siskiyou County Office of Emergency Services, Bureau of Land Management, California Conservation Corps.",-122.534655,41.893332,Wildfire,d7e7eaca-5716-48b3-bd34-37acea282634,https://www.fire.ca.gov/incidents/2018/7/5/klamathon-fire/,2019-01-04T09:55:00Z,2019-01-04,2018-07-05,N,TRUE,FALSE
Holiday Fire,Y,2019-10-25T09:42:00Z,2018-07-06T20:40:00Z,Santa Barbara County Fire,,Santa Barbara,"off north Fairview Ave and Holiday Hill Road, City of Goleta",113,100,,Santa Barbara County Fire,-119.831389,34.463889,Wildfire,76725105-a814-4e8d-bd5b-d0f2f1879dae,https://www.fire.ca.gov/incidents/2018/7/6/holiday-fire/,2019-01-04T09:54:00Z,2019-01-04,2018-07-06,N,TRUE,FALSE
West Fire,Y,2019-10-25T09:43:52Z,2018-07-06T23:39:00Z,"Unified Command: CAL FIRE San Diego, Alpine Fire District and Cleveland National Forest",,San Diego,"off I-8 & West Willows Rd, Community of Alpine",504,100,All roads are opened.,"Unified Command: CAL FIRE San Diego, Alpine Fire District and Cleveland National Forest",-116.7311,32.833674,Wildfire,2a1c14d1-2a88-4564-bd09-585e09ffc9a7,https://www.fire.ca.gov/incidents/2018/7/6/west-fire/,2019-01-04T09:55:00Z,2019-01-04,2018-07-06,N,TRUE,FALSE
Spring 2 Fire,Y,2019-10-25T09:44:45Z,2018-07-09T16:46:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Lake,"Pawnee Dr. and New Long Valley Dr., northeast of Clearlake ",80,100,,CAL FIRE Sonoma-Lake-Napa Unit,-122.59789,39.06715,Wildfire,78eabcbb-32b9-4438-ab84-8eb65c044db7,https://www.fire.ca.gov/incidents/2018/7/9/spring-2-fire/,2019-01-04T09:51:00Z,2019-01-04,2018-07-09,N,TRUE,FALSE
Carder Fire,Y,2019-10-25T09:45:58Z,2018-07-21T14:40:00Z,CAL FIRE Lake-Napa Unit,,Lake,"Adobe Creek Rd & Peterson Ln, Kelseyville",50,100,,CAL FIRE Lake-Napa Unit,-122.86854,38.91152,Wildfire,d7745759-07bd-40a7-a66c-003b174851b2,https://www.fire.ca.gov/incidents/2018/7/21/carder-fire/,2019-01-04T09:38:00Z,2019-01-04,2018-07-21,N,TRUE,FALSE
Marsh Fire,Y,2019-10-25T09:49:20Z,2018-07-25T14:41:00Z,Unified Command: CAL FIRE Santa Clara Unit & East Contra Costa Fire,,Contra Costa,"Marsh Creek Rd and  Bragdon way, east of Mount Diablo ",247,100,,"Unified Command: CAL FIRE Santa Clara Unit & East Contra Costa Fire, East Contra Costa Fire Protection District, Contra Costa County Fire Protection District, East Bay Regional Parks, Moraga Orinda Fire Protection District, San Ramon Valley Fire Protection District, Contra Costa County Sheriffs Office, California Highway Patrol, Contra Costa County Animal Services, Alameda County Fire Department and Marin County Fire Department.",-121.85847,37.89612,Wildfire,df681456-a50e-4400-a95a-77533a0978ba,https://www.fire.ca.gov/incidents/2018/7/25/marsh-fire/,2019-01-04T09:34:00Z,2019-01-04,2018-07-25,N,TRUE,FALSE
Steele Fire,Y,2019-10-25T10:08:47Z,2018-07-28T16:30:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Napa,"off Arroyo Grande Drive and Steele Canyon Road, Capell",135,100,All roads are open.,"CAL FIRE Sonoma-Lake-Napa Unit, Vacaville District, Vacaville City, Dixon Fire, Fairfield Fire, Winters Fire, Suisun City Fire, Napa County Fire, CDCR.",-122.18353,38.51943,Wildfire,2410754e-b988-4f4f-b7ee-21f954c2bbf2,https://www.fire.ca.gov/incidents/2018/7/28/steele-fire/,2019-01-04T09:30:00Z,2019-01-04,2018-07-28,N,TRUE,FALSE
Omega Fire,Y,2019-10-25T10:09:32Z,2018-08-01T14:40:00Z,CAL FIRE Amador - El Dorado Unit,,El Dorado,"off Omega Lane and Alpha Circle, west of Pilot Hill",66,100,,"CAL FIRE Amador - El Dorado Unit, ESDO, CHP, Cosumnes FD, Sac Metro, Folsom FD, Sac City FD, Santa Barbara FD, Garden Valley FD, Georgetown FD, El Dorado County FD, Wilton FD, Rescue FD, El Dorado Hills FD, Diamond Springs FD, AFPD, USFS, PG&E",-121.03918,38.82128,Wildfire,6e4ecf7a-2864-4fc6-85cb-9b2a0ac324df,https://www.fire.ca.gov/incidents/2018/8/1/omega-fire/,2019-01-04T09:27:00Z,2019-01-04,2018-08-01,N,TRUE,FALSE
Wagner Fire,Y,2019-10-25T10:10:14Z,2018-08-04T13:57:00Z,CAL FIRE Madera-Mariposa-Merced ,,Mariposa,"Texas Hill Rd and Bondurant Mine Rd, east of Coulterville",22,100,,CAL FIRE Madera-Mariposa-Merced ,-120.0545,37.69965,Wildfire,deb9364c-ab73-4661-b287-2ffc1797296e,https://www.fire.ca.gov/incidents/2018/8/4/wagner-fire/,2019-01-04T09:24:00Z,2019-01-04,2018-08-04,N,TRUE,FALSE
Holy Fire,Y,2019-10-25T10:12:42Z,2018-08-06T13:20:00Z,Cleveland National Forest,,Orange,"Holy Jim Canyon, west of N. Main Divide",23136,100,,Cleveland National Forest,-117.52055,33.69888,Wildfire,5b9e5ea7-1f63-46dd-aabd-8cf407c6f4ba,https://www.fire.ca.gov/incidents/2018/8/6/holy-fire/,2019-01-04T09:23:00Z,2019-01-04,2018-08-06,N,FALSE,FALSE
Delta Fire,Y,2019-10-25T10:17:21Z,2018-09-05T12:51:00Z,USFS Shasta-Trinity National Forest,,"Shasta, Trinity","I-5 and Lamoine, 2 miles NW of Lakehead",63311,100,,USFS Shasta-Trinity National Forest,-122.43,40.9425,Wildfire,ba818380-4001-46a2-ac04-d5f322cdf3b9,https://www.fire.ca.gov/incidents/2018/9/5/delta-fire/,2019-01-04T09:07:00Z,2019-01-04,2018-09-05,N,TRUE,FALSE
Meyers Fire,Y,2019-10-25T10:18:56Z,2018-09-20T12:39:00Z,"CAL FIRE Amador, El Dorado Unit",,El Dorado,Meyers Rd in Camino,12,100,,"CAL FIRE Amador, El Dorado Unit",-120.65672,38.7448,Wildfire,9ea41d38-ee7c-4394-9ea8-cbf33e788f13,https://www.fire.ca.gov/incidents/2018/9/20/meyers-fire/,2019-01-04T09:03:00Z,2019-01-04,2018-09-20,N,TRUE,FALSE
Cabrillo Fire,Y,2019-10-27T12:11:20Z,2019-10-24T20:15:36Z,CAL FIRE San Mateo- Santa Cruz Unit,,San Mateo,"Highway 1 and Gazos Creek Rd, south of Pescadero",62,100,,CAL FIRE San Mateo- Santa Cruz Unit,-122.361112,37.166674,Wildfire,ab8109fd-e8eb-4690-9f5c-3a8c9c47ff48,https://www.fire.ca.gov/incidents/2019/10/24/cabrillo-fire/,2019-10-27T12:11:00Z,2019-10-27,2019-10-24,N,TRUE,FALSE
Mines Fire,Y,2019-10-27T14:00:06Z,2019-10-24T23:16:18Z,CAL FIRE Santa Clara Unit,,Alameda,"Mines Rd and Del Valle Rd, southeast of Livermore",35,100,,CAL FIRE Santa Clara Unit,-121.68598,37.62782,Wildfire,87404846-bc30-41b8-82fe-31c9aedb9ef7,https://www.fire.ca.gov/incidents/2019/10/24/mines-fire/,2019-10-27T13:55:00Z,2019-10-27,2019-10-24,N,TRUE,FALSE
Miller Fire,Y,2019-10-27T18:29:19Z,2019-10-25T15:05:52Z,CAL FIRE San Diego County Fire,,San Diego,"Miller Lane and Cole Grade Lane, North of Valley Center ",37,100,,,-117.027333,33.259861,Wildfire,7ff229e4-be94-4319-8916-19eb43753843,https://www.fire.ca.gov/incidents/2019/10/25/miller-fire/,2019-10-27T18:05:00Z,2019-10-27,2019-10-25,N,TRUE,FALSE
Cypress Complex,Y,2019-10-28T16:26:20Z,2019-10-27T08:50:23Z, East Contra Costa County Fire Protection District,,Contra Costa,"East Cypress Rd and Bethel Island Road, Knightsen, CA  ",200,100,,,-121.64118,37.99136,Wildfire,d299dec7-b09f-47f7-80c9-859ddd1ecef3,https://www.fire.ca.gov/incidents/2019/10/27/cypress-complex/,2019-10-28T16:26:00Z,2019-10-28,2019-10-27,N,FALSE,FALSE
Forest Fire,Y,2019-10-28T16:28:20Z,2019-10-27T17:36:15Z,Contra Costa Fire Department ,,Contra Costa,"Alhambra Ave and Alhambra Hills Dr, Martinez in Contra Costa County",50,100,,,-122.11092,37.97911,Wildfire,b36ed23e-a3de-4aff-bdbc-d6ebf8d8f077,https://www.fire.ca.gov/incidents/2019/10/27/forest-fire/,2019-10-28T16:26:00Z,2019-10-28,2019-10-27,N,FALSE,FALSE
Glencove Fire ,Y,2019-10-28T16:30:13Z,2019-10-27T11:52:15Z,Vallejo city fire,,Solano,"Glen Cove Pkwy and Lookout Dr, south of Vallejo",140,100,,Vallejo City Fire,-122.22463,38.07205,Wildfire,c9f9ded3-170f-4b04-a50e-2c03153c663f,https://www.fire.ca.gov/incidents/2019/10/27/glencove-fire/,2019-10-28T16:28:00Z,2019-10-28,2019-10-27,N,FALSE,FALSE
Sky Fire ,Y,2019-10-29T11:40:36Z,2019-10-27T11:29:03Z,"Unified Command: CAL FIRE Santa Clara Unit, Crockett Fire and Contra Costa Fire. ",,Contra Costa,"Commings Skyway and I-80, south of Crockett",150,100,,"Santa Clara Unit, Contra Costa Fire",-122.2241,38.03545,Wildfire,64104ca2-a187-4b11-bb43-e22253bbcb52,https://www.fire.ca.gov/incidents/2019/10/27/sky-fire/,2019-10-28T16:30:00Z,2019-10-28,2019-10-27,N,TRUE,FALSE
Sawday Fire ,Y,2019-10-29T19:04:38Z,2019-10-25T10:52:04Z,CALFIRE San Diego ,,San Diego,"Sawday Truck Trail and Little Page Rd, Community of Witch Creek ",97,100,,,-116.742508,33.055124,Wildfire,a6701bb9-7086-4dbc-ac5f-8c98eeb0279a,https://www.fire.ca.gov/incidents/2019/10/25/sawday-fire/,2019-10-28T19:31:00Z,2019-10-28,2019-10-25,N,TRUE,FALSE
Tick Fire,Y,2019-10-31T07:39:12Z,2019-10-24T14:51:46Z,Los Angeles County Fire Department ,,Los Angeles,"Tick Canyon Rd and Summit Knoll Rd, Canyon Country",4615,100,,Los Angeles County Fire Department ,-118.368056,34.472778,Wildfire,020310d3-7834-4f57-a125-eff0eb3f54e5,https://www.fire.ca.gov/incidents/2019/10/24/tick-fire/,,,2019-10-24,N,FALSE,FALSE
Copper Fire,Y,2019-11-01T07:25:07Z,2019-10-31T06:39:56Z,CAL FIRE San Diego ,,San Diego,"off of Border road and Canyon Road, Southeast of Chula Vista ",50,100,,,-116.834583,32.564583,Wildfire,e471b23c-f00c-44bc-afc1-6ab02b0af4c3,https://www.fire.ca.gov/incidents/2019/10/31/copper-fire/,,,2019-10-31,N,TRUE,FALSE
Caples Fire,Y,2019-11-01T14:16:21Z,2019-10-11T12:47:59Z,USFS El Dorado National Forest,,El Dorado,Northern ridge above Caples Creek north of Highway 88,3435,100,,USFS El Dorado National Forest,-120.145,38.724,Wildfire,451c3012-2831-44c1-8fc7-146fd02d2ce0,https://www.fire.ca.gov/incidents/2019/10/11/caples-fire/,,,2019-10-11,N,FALSE,FALSE
Old Water Fire,Y,2019-11-01T14:17:15Z,2019-10-24T04:53:17Z,San Bernardino County Fire,,San Bernardino,near Old Waterman Canyon Road and Hwy 18.,145,100,,"San Bernardino National Forest, San Bernardino County Fire",-117.274276,34.183624,Wildfire,956f8cd5-f4fb-43d7-8a34-1bb5db551995,https://www.fire.ca.gov/incidents/2019/10/24/old-water-fire/,,,2019-10-24,N,FALSE,FALSE
Sandalwood Fire,Y,2019-11-01T15:14:13Z,2019-10-10T15:38:44Z,"Unified Command: CAL FIRE/Riverside County Fire Department, City of Calimesa and City of Yucaipa",,Riverside,Calimesa Boulevard and Sandalwood Drive,1011,100,,"CAL FIRE/Riverside County Fire Department, City of Calimesa , City of Yucaipa",-117.059167,33.9925,Wildfire,7ff84b11-c3fb-4f5c-8a00-07243d4a4e33,https://www.fire.ca.gov/incidents/2019/10/10/sandalwood-fire/,,,2019-10-10,N,TRUE,FALSE
Burris Fire,Y,2019-11-03T18:54:27Z,2019-10-27T14:54:40Z,CAL FIRE Mendocino Unit,,Mendocino,"Potter Valley Road and  Highway 20, east of Calpella in Mendocino County",703,100,,CAL FIRE Mendocino Unit,-123.12887,39.22431,Wildfire,9cc1af36-29f2-4af5-afa7-23b9ce17630e,https://www.fire.ca.gov/incidents/2019/10/27/burris-fire/,2019-11-03T18:52:00Z,2019-11-03,2019-10-27,N,TRUE,FALSE
Sobrante Fire ,Y,2019-11-05T08:56:21Z,2019-11-01T13:04:34Z,CAL FIRE Riverside County Fire Department ,,Riverside,"off of La Sierra Ave and Tin Mine Road,  East of Corona ",19,100,,CAL FIRE Riverside County Fire Department ,-117.461363,33.849906,Wildfire,305f30f5-622d-4c55-8813-45ffbc15aed0,https://www.fire.ca.gov/incidents/2019/11/1/sobrante-fire/,2019-11-01T08:55:00Z,2019-11-01,2019-11-01,N,TRUE,FALSE
Saddle Ridge Fire,Y,2019-11-05T12:06:11Z,2019-10-10T21:02:00Z,Unified Command: Los Angeles County Fire Department and Los Angeles City Fire Department and Angeles National Forest,,Los Angeles,"Saddle Ridge Rd, Sylmar",8799,100,,"Los Angeles City Fire Department,  Cal Fire, LA Emergency Management Department (EMD), LA Department of Recreation and Parks (RAP), LA Department of Water and Power (DWP), SoCal Gas, California Highway Patrol (CHP), LA County Public Health Department, LA City Department of Animal Regulation, American Red Cross, LA Public Works, Southern California Edison, LA County Public Works Flood Control, Los Angeles Department of Transportation and MySafe:LA, Los Angeles County Fire Department , Angeles National Forest",-118.48161,34.32988,Wildfire,c52717d6-0297-4c5b-a0f1-f17abcd7ac27,https://www.fire.ca.gov/incidents/2019/10/10/saddle-ridge-fire/,2019-10-31T09:10:00Z,2019-10-31,2019-10-10,N,FALSE,FALSE
Palisades Fire,Y,2019-11-05T14:16:11Z,2019-10-21T11:52:52Z,Los Angeles Fire Department ,,Los Angeles,"North Palisades Dr., Pacific Palisades",42,100,,Los Angeles Fire Department ,-118.554091,34.055768,Wildfire,24eb323e-b97f-4087-886b-7efae8937bae,https://www.fire.ca.gov/incidents/2019/10/21/palisades-fire/,2019-10-31T14:16:00Z,2019-10-31,2019-10-21,N,FALSE,FALSE
Getty Fire ,Y,2019-11-08T15:26:39Z,2019-10-28T06:46:55Z, Los Angeles Fire Department,,Los Angeles,East Sepulveda Blvd and I-405 near Los Angeles City,745,100,, Los Angeles Fire Department,-118.478717,34.098191,Wildfire,e693477a-37d2-4aba-9e73-a63421a2b3a6,https://www.fire.ca.gov/incidents/2019/10/28/getty-fire/,2019-11-05T17:30:00Z,2019-11-05,2019-10-28,N,FALSE,FALSE
Hillside Fire,Y,2019-11-12T09:03:33Z,2019-10-31T06:53:47Z,San Bernardino County Fire Department/ San Bernardino Nation Forest Service,,San Bernardino,"off of W 59th and Hill Dr, in San Bernardino National Forest",200,100,,"San Bernardino County Fire Department , San Bernardino National Forest Service ",-117.285,34.183,Wildfire,dfc32e06-b88e-4d30-ae3d-22bc18792f5e,https://www.fire.ca.gov/incidents/2019/10/31/hillside-fire/,2019-11-05T09:03:00Z,2019-11-05,2019-10-31,N,FALSE,FALSE
Eagle Fire,Y,2019-11-14T18:26:01Z,2019-11-05T06:52:14Z,CAL FIRE Sonoma-Lake-Napa Unit,,Lake,"Walker Ridge Road and Bartlett Springs Road, northeast of Clearlake",75,100,,,-122.496548,39.100408,Wildfire,600d608d-6279-435d-bc9b-99aacaa5e80f,https://www.fire.ca.gov/incidents/2019/11/5/eagle-fire/,2019-11-06T18:30:00Z,2019-11-06,2019-11-05,N,TRUE,FALSE
Oak Fire,Y,2019-11-21T12:21:28Z,2019-10-22T19:20:44Z,Camp Pendleton Marine Corps Base,,San Diego,"Near Basilone Road and Las Pulgas Road, near Camp Pendleton North",,,,"CAL FIRE San Diego, Camp Pendleton Marine Base",-117.403719,33.351145,Wildfire,7264a106-e0f4-41de-8fd0-3f9110431e28,https://www.fire.ca.gov/incidents/2019/10/22/oak-fire/,,,2019-10-22,N,FALSE,FALSE
Muir Fire,Y,2019-11-21T12:21:41Z,2019-10-24T12:15:33Z,Marin County Fire,,Marin,"Highway 1 and Panoramic Hwy, Stinson Beach",67,100,,Marin County Fire,-122.636471,37.896231,Wildfire,16b1921b-f753-4a36-85bc-d903555f0af4,https://www.fire.ca.gov/incidents/2019/10/24/muir-fire/,,,2019-10-24,N,TRUE,FALSE
Cashe Fire ,Y,2019-12-03T16:35:20Z,2019-11-25T12:02:02Z,Yolo County Fire Protection District,,Yolo,"County Road 102 and County Road 17, North of Woodland",,,,,-121.729691,38.734634,Wildfire,9c26f915-1b33-422d-b30a-9eb4da6fd729,https://www.fire.ca.gov/incidents/2019/11/25/cashe-fire/,,,2019-11-25,N,FALSE,FALSE
Elk Fire,Y,2019-12-06T11:10:27Z,2019-10-04T12:03:48Z,CAL FIRE Tehama-Glenn Unit,,Glenn,Elk Creek,63,100,,,-123.4375,41.70611111,Wildfire,082bd2d3-457b-496b-a469-0d2550aac7ef,https://www.fire.ca.gov/incidents/2019/10/4/elk-fire/,2019-10-03T12:03:00Z,2019-10-03,2019-10-04,N,TRUE,FALSE
Cow Fire,Y,2020-01-10T16:08:48Z,2019-09-06T12:23:00Z,USFS - Inyo National Forest ,,Inyo,"Golden Trout Wilderness, Inyo National Forest",1975,100,,Inyo National Forest ,-118.228,36.284,Wildfire,c3b236b9-3a1d-481d-b1eb-b0aa77c5b462,https://www.fire.ca.gov/incidents/2019/9/6/cow-fire/,2019-11-21T16:08:00Z,2019-11-21,2019-09-06,N,FALSE,FALSE
Taboose Fire,Y,2020-01-10T16:10:00Z,2019-09-06T12:43:35Z,Inyo National Forest     ,,Inyo,south west of Big Pine and north west of Aberdeen,10296,100,,"Inyo National Forest , Inyo County Sheriff's Office",-118.345,37.034,Wildfire,e7ea56c5-4290-4406-b0a5-c9d1718e9700,https://www.fire.ca.gov/incidents/2019/9/6/taboose-fire/,2019-11-21T16:09:00Z,2019-11-21,2019-09-06,N,FALSE,FALSE
Grove Fire,Y,2020-01-10T16:11:49Z,2019-10-17T20:06:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Lake,Hwy 29 and Spruce Grove Road in Lake County,25,100,,,-122.604425,38.88913,Wildfire,df7805d1-682e-4a3d-b917-1bbab5e078ef,https://www.fire.ca.gov/incidents/2019/10/17/grove-fire/,,,2019-10-17,N,TRUE,FALSE
South Fire,Y,2020-01-10T16:13:09Z,2019-09-05T19:59:46Z,Shasta-Trinity National Forest ,,Tehama,"Southeast aspect of Tomhead Mountain, South of Platina",5332,100,,Shasta-Trinity National Forest ,-122.789,40.109,Wildfire,38d46a2f-d1f6-4ed8-a502-e57e393844ea,https://www.fire.ca.gov/incidents/2019/9/5/south-fire/,2019-12-02T16:12:00Z,2019-12-02,2019-09-05,N,FALSE,FALSE
Bear Fire ,Y,2020-02-16T09:24:05Z,2020-02-15T17:48:27Z,CAL FIRE Humboldt-Del Norte Unit,,Humboldt,"Bear Creek Road and Anderson Ford Road, Northwest of Highway 36 at Dinsmore",15,100,,,-123.6378411,40.511092,Wildfire,94f20083-2412-4058-bc16-afa6b45c3935,https://www.fire.ca.gov/incidents/2020/2/15/bear-fire/,,,2020-02-15,N,TRUE,FALSE
Beegum Fire,Y,2020-02-24T14:32:24Z,2020-02-23T08:35:30Z,CAL FIRE Tehama-Glenn Unit,,Tehama,"Off of Highway 36 West and Tedoc Rd, West of Red Bluff",75,100,,,-122.84722222,40.33583333,Wildfire,f6e7a62d-4796-452d-8e41-66ed1aef6d63,https://www.fire.ca.gov/incidents/2020/2/23/beegum-fire/,2020-02-24T14:32:00Z,2020-02-24,2020-02-23,N,TRUE,FALSE
Antelope Fire,Y,2020-02-24T14:41:27Z,2020-02-17T15:04:08Z,USFS Tahoe National Forest,,Sierra,"Hwy 49 and Fillippini Road, Sierraville",102,100,,,-120.3291855,39.6923001,Wildfire,c9bb59f7-be32-4296-8c11-3f1233116827,https://www.fire.ca.gov/incidents/2020/2/17/antelope-fire/,2020-02-20T14:40:00Z,2020-02-20,2020-02-17,N,FALSE,FALSE
Wood Fire,Y,2020-02-24T14:45:55Z,2020-02-23T17:50:20Z,Bureau of Land Management,,Lassen,"Off Horselake Road and Woodranch Road, East of Susanville",57,100,,Bureau of Land Management,-120.49392,40.62155,Wildfire,edd2012d-0574-46a1-97d5-9ca42e7c5912,https://www.fire.ca.gov/incidents/2020/2/23/wood-fire/,2020-02-23T14:45:00Z,2020-02-23,2020-02-23,N,FALSE,FALSE
Maria Fire ,Y,2020-03-03T15:19:43Z,2019-10-31T20:58:28Z,Ventura County Fire Department ,,Ventura,"off of Bradley Road and Solano Verde Dr, Top of South Mt, Santa Paula",9999,100,,"Venture County Fire Department, Cooperating Agencies: Ventura County OES, Ventura County Animal Services, CHP, California Department of Corrections and Rehabilitation, Cal Resources Corporation, So Cal Gas, United Water, So Cal Edison, California Conservation Corps ",-118.997115,34.302212,Wildfire,31852a71-e639-496f-9e7d-0968d1c218b3,https://www.fire.ca.gov/incidents/2019/10/31/maria-fire/,2019-11-06T18:00:00Z,2019-11-06,2019-10-31,N,TRUE,FALSE
Kincade Fire,Y,2020-03-03T15:35:35Z,2019-10-23T21:27:00Z,CAL FIRE Sonoma-Lake-Napa Unit,,Sonoma,"John Kincade Road and Burned Mountain Road, northeast of Geyserville",77758,100,,"Cooperating Agencies: Cooperating Agencies: Geyserville Fire Protection District, Numerous Sonoma County Fire Agencies, CDCR, Cal OES, CHP, CCC, Sonoma County Sheriff’s Department, BIA, BLM, California National Guard.",-122.780053,38.792458,Wildfire,809d101c-8aa3-4a53-bf20-f38ae7ec7941,https://www.fire.ca.gov/incidents/2019/10/23/kincade-fire/,2019-11-06T19:00:00Z,2019-11-06,2019-10-23,N,TRUE,FALSE
Grizzly Fire,Y,2020-03-05T07:27:29Z,2020-03-02T14:08:05Z,CAL FIRE Tehama-Glenn Unit ,,Glenn,"Grizzly Flat Recreation Area, west of Orland",154,100,,,-122.384532,39.774968,Wildfire,405d5f3f-66c9-4b69-8660-82780fa582b5,https://www.fire.ca.gov/incidents/2020/3/2/grizzly-fire/,2020-03-05T07:26:00Z,2020-03-05,2020-03-02,N,TRUE,FALSE
Mann Fire,Y,2020-03-06T20:15:27Z,2020-03-03T11:13:50Z,CAL FIRE/ Riverside County Fire Department,,Riverside,"Santa Ana Riverbottom near California Ave and Grulla Ct,  South of Jurupa Valley ",180,100,,CAL FIRE/ Riverside County Fire Department,-117.51793,33.96957,Wildfire,e1298aaa-1337-412e-ba09-7b29e87dad8b,https://www.fire.ca.gov/incidents/2020/3/3/mann-fire/,,,2020-03-03,N,TRUE,FALSE
South Main Fire,Y,2020-03-09T11:20:45Z,2020-03-06T12:44:00Z,CAL FIRE / Riverside County Fire,,Riverside,"Off South Main Divide & Hacienda Rd, El Cariso",20,100,,,-117.40906,33.65263,Wildfire,083f1638-4369-410f-9b57-d53cfaa938f7,https://www.fire.ca.gov/incidents/2020/3/6/south-main-fire/,,,2020-03-06,N,TRUE,FALSE
Baseball Fire,Y,2020-03-09T11:22:07Z,2020-02-25T14:17:21Z,Mendocino National Forest,,"Glenn, Mendocino","Off Atchison Creek, East of Covelo",211,100,,Mendocino National Forest ,-122.94111111,39.75638899,Wildfire,ad9ab6b9-53ed-417c-a490-6b594974f110,https://www.fire.ca.gov/incidents/2020/2/25/baseball-fire/,2020-03-03T11:21:00Z,2020-03-03,2020-02-25,N,FALSE,FALSE
Baker Fire,Y,2020-03-18T10:48:19Z,2020-03-03T15:20:43Z,Tahoe National Forest,,Yuba,"Near Bullards Bar Reservoir, West of Camptonville ",,,,Tahoe National Forest ,-121.12381,39.45493,Wildfire,7411452c-1613-4e4f-afe6-865db0c476c4,https://www.fire.ca.gov/incidents/2020/3/3/baker-fire/,,,2020-03-03,N,FALSE,FALSE
Carter Fire ,Y,2020-04-20T13:51:38Z,2020-04-04T20:22:08Z,Imperial County Fire Departmant,,Imperial,"Off Austin Road  and Weaver Road, South of Brawley",275,100,,Imperial County Fire Departmant,-115.5865,32.93432,Wildfire,a87d4713-817a-47ac-9fa5-427c474cf9a5,https://www.fire.ca.gov/incidents/2020/4/4/carter-fire/,2020-04-12T13:51:00Z,2020-04-12,2020-04-04,N,FALSE,FALSE
Red Fire ,Y,2020-04-26T09:53:40Z,2020-04-23T20:52:04Z,CAL FIRE Tehama-Glenn Unit,,Tehama,"Red Bank Road, Southwest of Red Bluff",26,100,,,-122.43905,40.09554,Wildfire,3eff88c0-89ee-4abe-8f6d-f74b90c42f30,https://www.fire.ca.gov/incidents/2020/4/23/red-fire/,2020-04-24T09:53:00Z,2020-04-24,2020-04-23,N,TRUE,FALSE
Byron Fire,Y,2020-04-27T20:34:21Z,2020-04-27T14:59:04Z,Contra Costa Fire Protection District,,Contra Costa,"Byron Highway and Bruns Ave, southeast of Byron",47,100,,Contra Costa Fire Protection District,-121.595225,37.82066,Wildfire,18b88d88-2c76-41cb-9b07-5c9dda8f56d9,https://www.fire.ca.gov/incidents/2020/4/27/byron-fire/,2020-04-27T20:33:00Z,2020-04-27,2020-04-27,N,FALSE,FALSE
Bar Fire,Y,2020-05-01T16:49:57Z,2020-04-25T14:59:00Z,CAL FIRE Shasta-Trinity Unit,,Trinity,Bar K Rd & Shady Creek Lane in Douglas City,55,100,,,-122.97693,40.63442,Wildfire,4b1b0f5b-a4f9-4965-ad6a-029c9d89c68c,https://www.fire.ca.gov/incidents/2020/4/25/bar-fire/,,,2020-04-25,N,TRUE,FALSE
Interstate 5 Fire,Y,2020-05-07T13:31:33Z,2020-05-03T15:52:04Z,Kings County Fire Department,,Kings,"Interstate 5 & Avenal Cutoff, south of Fresno County line",2060,100,,Kings County Fire Department,-120.106407,36.075003,Wildfire,2dac9fb4-1c2a-405a-93be-92ed7788a1d2,https://www.fire.ca.gov/incidents/2020/5/3/interstate-5-fire/,2020-05-03T13:31:00Z,2020-05-03,2020-05-03,N,FALSE,FALSE
Hollister Fire,Y,2020-05-18T13:50:33Z,2020-05-07T08:10:19Z,Santa Barbara County Fire Department,,Santa Barbara,"Hollister Ranch, West of Goleta in Gaviota",156,100,Forward spread has stopped,Santa Barbara County Fire Department,-120.29379,34.47438,Wildfire,d0dbf515-0e04-42d9-a46b-8ea21d18374a,https://www.fire.ca.gov/incidents/2020/5/7/hollister-fire/,2020-05-09T13:50:00Z,2020-05-09,2020-05-07,N,FALSE,FALSE
